type,name,bloat,waste
table,public.bookings_event_talent_day_unique,5.0,32 kB
table,public.events,2.0,32 kB
table,public.profiles,1.3,16 kB
table,public.email_logs,1.3,16 kB
index,public.admin_roles::idx_admin_roles_user_id,2.0,8192 bytes
index,public.admin_roles::admin_roles_user_id_key,2.0,8192 bytes
index,public.admin_roles::admin_roles_pkey,2.0,8192 bytes
index,public.system_status::system_status_pkey,2.0,8192 bytes
index,public.system_status::system_status_component_key,2.0,8192 bytes
index,public.event_roles::idx_event_roles_event_id,2.0,8192 bytes
index,public.event_roles::event_roles_pkey,2.0,8192 bytes
index,public.event_days::idx_event_days_event,2.0,8192 bytes
index,public.event_days::event_days_event_id_day_number_key,2.0,8192 bytes
index,public.event_days::event_days_pkey,2.0,8192 bytes
index,public.event_days::event_days_event_id_event_date_key,2.0,8192 bytes
index,public.event_days::idx_event_days_date,2.0,8192 bytes
index,public.admin_roles::idx_admin_roles_email,2.0,8192 bytes
index,public.admin_roles::idx_admin_roles_role,2.0,8192 bytes
table,public.system_status,1.0,0 bytes
index,public.bookings::bookings_event_talent_day_unique,1.0,0 bytes
table,public.admin_roles,1.0,0 bytes
table,public.bookings,1.0,0 bytes
table,public.event_days,1.0,0 bytes
table,public.event_roles,1.0,0 bytes
table,public.recaps,1.0,0 bytes
index,public.recaps::idx_recaps_booking_id,0.7,0 bytes
index,public.email_logs::email_logs_pkey,0.7,0 bytes
index,public.recaps::recaps_pkey,0.7,0 bytes
index,public.events::idx_events_status,0.5,0 bytes
index,public.events::events_pkey,0.5,0 bytes
index,public.events::idx_events_date,0.5,0 bytes
index,public.bookings::idx_bookings_event_id,0.4,0 bytes
index,public.bookings::idx_bookings_assigned_role,0.4,0 bytes
index,public.bookings::idx_bookings_talent_id,0.4,0 bytes
index,public.bookings::idx_bookings_status,0.4,0 bytes
index,public.bookings::bookings_pkey,0.4,0 bytes
index,public.bookings::idx_bookings_event_day,0.4,0 bytes
index,public.bookings::idx_bookings_payment_status,0.4,0 bytes
index,public.profiles::profiles_pkey,0.3,0 bytes
index,public.profiles::idx_profiles_last_sign_in_at,0.3,0 bytes
index,public.email_logs::idx_email_logs_status,0.3,0 bytes
index,public.email_logs::idx_email_logs_created,0.3,0 bytes
index,public.profiles::idx_profiles_email,0.3,0 bytes
index,public.profiles::idx_profiles_w9_completed,0.3,0 bytes
index,public.profiles::idx_profiles_status,0.3,0 bytes
