name,size,percent_used,index_scans,seq_scans,unused
public.bookings_event_talent_day_unique,40 kB,100%,8960,0,f
public.email_logs_pkey,32 kB,100%,250,0,f
public.app_feedback_pkey,16 kB,0%,0,0,t
public.idx_admin_roles_user_id,16 kB,100%,48778,0,f
public.no_show_alerts_pkey,16 kB,0%,0,0,t
public.idx_bookings_assigned_role,16 kB,100%,1,0,f
public.idx_staff_invitations_email,16 kB,0%,0,0,t
public.idx_profiles_status,16 kB,100%,5419,0,f
public.idx_bookings_talent_id,16 kB,100%,1655,0,f
public.event_files_pkey,16 kB,0%,0,0,t
public.events_pkey,16 kB,100%,83033,0,f
public.idx_no_show_alerts_booking_id,16 kB,100%,12,0,f
public.clients_email_key,16 kB,0%,0,0,t
public.activity_logs_pkey,16 kB,0%,0,0,t
public.client_feedback_pkey,16 kB,0%,0,0,t
public.idx_email_logs_created,16 kB,100%,33090,0,f
public.idx_event_days_event,16 kB,100%,2586,0,f
public.idx_profiles_w9_completed,16 kB,0%,0,0,t
public.idx_profiles_email,16 kB,100%,181,0,f
public.booking_breaks_pkey,16 kB,100%,1,0,f
public.idx_event_roles_event_id,16 kB,100%,422,0,f
public.idx_event_notes_event_id,16 kB,100%,376,0,f
public.event_days_event_id_day_number_key,16 kB,100%,257,0,f
public.idx_admin_roles_email,16 kB,100%,3,0,f
public.idx_booking_breaks_booking_id,16 kB,100%,28,0,f
public.admin_roles_user_id_key,16 kB,100%,4,0,f
public.idx_bookings_status,16 kB,100%,43,0,f
public.idx_activity_logs_action,16 kB,100%,322,0,f
public.idx_bookings_event_day,16 kB,100%,4,0,f
public.idx_no_show_alerts_event_id,16 kB,0%,0,0,t
public.idx_staff_invitations_token,16 kB,100%,1,0,f
public.event_notes_pkey,16 kB,100%,2,0,f
public.admin_users_pkey,16 kB,100%,283057,0,f
public.idx_email_logs_status,16 kB,100%,1,0,f
public.idx_event_days_date,16 kB,100%,52,0,f
public.idx_activity_logs_created_at,16 kB,100%,5282,0,f
public.idx_admin_roles_role,16 kB,100%,165,0,f
public.clients_pkey,16 kB,0%,0,0,t
public.idx_event_files_event_id,16 kB,100%,7,0,f
public.profiles_pkey,16 kB,100%,224884,0,f
public.system_status_component_key,16 kB,100%,171,0,f
public.event_days_event_id_event_date_key,16 kB,0%,0,0,t
public.system_status_pkey,16 kB,0%,0,0,t
public.idx_events_status,16 kB,100%,1511,0,f
public.staff_invitations_pkey,16 kB,0%,0,0,t
public.idx_bookings_event_id,16 kB,100%,4317,0,f
public.event_days_pkey,16 kB,100%,643,0,f
public.idx_bookings_payment_status,16 kB,0%,0,0,t
public.recaps_pkey,16 kB,0%,0,0,t
public.idx_profiles_last_sign_in_at,16 kB,100%,284,0,f
public.admin_roles_pkey,16 kB,100%,3,0,f
public.bookings_pkey,16 kB,100%,2657,0,f
public.event_roles_pkey,16 kB,0%,0,0,t
public.idx_events_date,16 kB,100%,3767,0,f
public.idx_recaps_booking_id,16 kB,100%,295,0,f
public.staff_invitations_token_key,16 kB,0%,0,0,t
public.idx_app_feedback_submitted_at,16 kB,100%,1,0,f
public.idx_talent_availability_talent_date,8192 bytes,100%,21,0,f
public.client_users_pkey,8192 bytes,0%,0,0,t
public.idx_document_signatures_user,8192 bytes,0%,0,0,t
public.idx_admin_feedback_created,8192 bytes,0%,0,0,t
public.idx_document_signatures_event,8192 bytes,0%,0,0,t
public.training_completions_pkey,8192 bytes,0%,0,0,t
public.document_signatures_document_id_event_id_user_id_key,8192 bytes,0%,0,0,t
public.idx_training_materials_event,8192 bytes,0%,0,0,t
public.idx_expenses_booking_id,8192 bytes,100%,39,0,f
public.training_completions_booking_id_training_material_id_key,8192 bytes,0%,0,0,t
public.event_documents_event_id_document_id_key,8192 bytes,0%,0,0,t
public.event_documents_pkey,8192 bytes,0%,0,0,t
public.talent_availability_talent_id_date_key,8192 bytes,0%,0,0,t
public.idx_training_completions_booking,8192 bytes,100%,25,0,f
public.expenses_pkey,8192 bytes,0%,0,0,t
public.idx_admin_feedback_status,8192 bytes,0%,0,0,t
public.idx_event_documents_event,8192 bytes,0%,0,0,t
public.email_templates_pkey,8192 bytes,0%,0,0,t
public.documents_pkey,8192 bytes,0%,0,0,t
public.document_signatures_pkey,8192 bytes,0%,0,0,t
public.client_users_user_id_client_id_key,8192 bytes,0%,0,0,t
public.client_profiles_pkey,8192 bytes,0%,0,0,t
public.operations_alerts_pkey,8192 bytes,0%,0,0,t
public.training_materials_pkey,8192 bytes,0%,0,0,t
public.admin_feedback_pkey,8192 bytes,0%,0,0,t
public.staff_status_pkey,8192 bytes,0%,0,0,t
public.client_profiles_user_id_key,8192 bytes,0%,0,0,t
public.talent_availability_pkey,8192 bytes,0%,0,0,t
